C:\Users\peter\Desktop\Touchscreen DOE\Subject Data\Children\TDOE_2_25_19.emrg2,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Age,SessionDate,Group,Block,BothSelected,ComparisonStimuli.ACC,ComparisonStimuli.RESP,ComparisonStimuli.RT,CorrectAnswer,NumericCorrectAnswer,CorrectAnswerL,CorrectAnswerR,Trial,FbMovie,LeftResponseStimulus,ResponseStimulus,RightResponseStimulus,Running,SampleStimulus
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,21,,0,Right,2385,Left,2,,,19,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,22,,1,Left,1302,Left,2,,,20,Moana05.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,23,,0,Right,1588,Left,2,,,21,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,24,,0,Left,1487,Right,1,,,22,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,25,,1,Right,1472,Right,1,,,23,Trolls02.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,26,,1,Left,2479,Left,2,,,24,Moana06.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,27,,0,Right,1651,Left,2,,,25,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,28,,1,Left,1734,Left,2,,,26,Moana07.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,29,,0,Left,2229,Right,1,,,27,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,30,,0,TimedOut,5000,Left,2,,,28,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,31,,0,Left,2206,Right,1,,,29,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,32,,0,Right,1693,Left,2,,,30,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,33,,0,Left,1662,Right,1,,,31,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,34,,1,Right,1511,Right,1,,,32,Trolls03.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,35,,0,Right,2084,Left,2,,,33,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,36,,0,Left,1840,Right,1,,,34,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,37,,1,Right,2993,Right,1,,,35,Trolls04.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,38,,1,Left,1933,Left,2,,,36,Moana08.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,39,,1,Right,1757,Right,1,,,37,Trolls05.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,40,,1,Left,1541,Left,2,,,38,Moana09.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,41,,1,Right,1360,Right,1,,,39,Trolls06.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,42,,1,Left,1434,Left,2,,,40,Moana10.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,43,,1,Right,1283,Right,1,,,41,Trolls07.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,44,,1,Left,1575,Left,2,,,42,Moana11.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,45,,1,Right,1324,Right,1,,,43,Trolls08.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,46,,1,Left,1234,Left,2,,,44,Moana12.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,47,,1,Right,1249,Right,1,,,45,Trolls09.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,48,,0,Left,1384,Right,1,,,46,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,49,,1,Right,1668,Right,1,,,47,Trolls10.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,50,,1,Right,2643,Right,1,,,48,Trolls11.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,51,,1,Left,1246,Left,2,,,49,Moana13.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,52,,0,TimedOut,5000,Right,1,,,50,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,1,GreenHeartPurpleCloud.png,,,,,,Heart,Cloud,,,GreenHeartCloud.png,HeartCloud.png,HeartPurpleCloud.png,0,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,2,BlueTriangleRedStar.png,,,,,,Triangle,Star,,,BlueTriangleStar.png,TriangleStar.png,TriangleRedStar.png,0,Square_Solid.png
