C:\Users\peter\Desktop\Touchscreen DOE\Subject Data\EMerge 11 26 18\TDOE_11_26_18.emrg2,,,,,,,,,,,,,
ExperimentName,Subject,Group,Buzz,Prompt,SessionDate,Block,ComparisonStimuli.ACC,ComparisonStimuli.RESP,ComparisonStimuli.RT,CorrectAnswer,NumericCorrectAnswer,FbMovie,SampleStimulus
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,34,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,35,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,36,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,37,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,38,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,39,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,40,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,41,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,42,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,43,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,44,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,45,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,46,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,47,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,48,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,49,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,50,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999005,1,1,2,10/5/18,1,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999005,1,1,2,10/5/18,2,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_MLTR,18999005,1,1,2,10/5/18,3,1,Right,2984,Right,1,Trolls01.avi,Square_Solid.png
DOP_Adults_USE_MLTR,18999005,1,1,2,10/5/18,4,1,Right,948,Right,1,Trolls02.avi,Square_Solid.png
DOP_Adults_USE_MLTR,18999005,1,1,2,10/5/18,5,0,Left,989,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_MLTR,18999005,1,1,2,10/5/18,6,1,Right,479,Right,1,Trolls03.avi,Square_Solid.png
DOP_Adults_USE_MLTR,18999005,1,1,2,10/5/18,7,1,Left,1335,Left,2,Moana01.avi,Circle_Solid.png
DOP_Adults_USE_MLTR,18999005,1,1,2,10/5/18,8,1,Right,651,Right,1,Trolls04.avi,Square_Solid.png
